cont_id,distance,relationship,setting,location_multi,location_fine_multi
1,Less than 1 meter,Coworker,indoor,Home,Home
2,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
3,Between 1 and 2 meters,Coworker,indoor,Home,Home
4,Between 1 and 2 meters,Coworker,indoor,Home,Home
5,Pyshical contact,School/college mate,indoor,Home,Home
6,Pyshical contact,School/college mate,indoor,Home,Home
7,,School/college mate,indoor,Home,Home
8,,School/college mate,indoor,Home,Home
9,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
10,Between 1 and 2 meters,Non-cohabitant relative/family member,outdoor,Home,Home
11,Between 1 and 2 meters,Non-cohabitant relative/family member,indoor,Home,Home
12,Between 1 and 2 meters,Friend or acquaintance,indoor,Home,Home
13,Between 1 and 2 meters,Friend or acquaintance,indoor,Home,Home
14,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
15,Between 1 and 2 meters,Coworker,outdoor,Work,Work
16,Between 1 and 2 meters,Cohabitant,indoor,Home,Cohabitant
17,Between 1 and 2 meters,Coworker,outdoor,Work,Work
18,Between 1 and 2 meters,Coworker,outdoor,Work,Work
19,Between 1 and 2 meters,Coworker,outdoor,Work,Work
20,Between 1 and 2 meters,Friend or acquaintance,outdoor,Other,Shopping
21,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
22,Between 1 and 2 meters,Friend or acquaintance,outdoor,Home,Home
23,Between 1 and 2 meters,Friend or acquaintance,outdoor,Home,Home
24,Between 1 and 2 meters,Friend or acquaintance,outdoor,Home,Home
25,Between 1 and 2 meters,Friend or acquaintance,outdoor,Home,Home
26,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
27,Between 1 and 2 meters,Other,indoor,Other,Shopping
28,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
29,Less than 1 meter,Non-cohabitant relative/family member,indoor,Home,Home
30,Between 1 and 2 meters,Non-cohabitant relative/family member,indoor,Leisure,Homeguest
31,Between 1 and 2 meters,Non-cohabitant relative/family member,indoor,Leisure,Homeguest
32,Less than 1 meter,Non-cohabitant relative/family member,indoor,Home,Home
33,Pyshical contact,Non-cohabitant relative/family member,indoor,Home,Home
34,Between 1 and 2 meters,Non-cohabitant relative/family member,indoor,Home,Home
35,More than 2 meters,Friend or acquaintance,indoor,Leisure,Leisure
36,Between 1 and 2 meters,Friend or acquaintance,indoor,Leisure,Leisure
37,Less than 1 meter,Non-cohabitant relative/family member,indoor,Home,Home
38,More than 2 meters,Friend or acquaintance,indoor,Other,Otherindoor
39,Between 1 and 2 meters,Friend or acquaintance,indoor,Leisure,Leisure
40,Between 1 and 2 meters,Friend or acquaintance,indoor,Leisure,Leisure
41,Less than 1 meter,Cohabitant,indoor,Home,Cohabitant
42,Less than 1 meter,Cohabitant,indoor,Home,Cohabitant
43,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
44,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
45,Between 1 and 2 meters,Other,indoor,Leisure,Restaurant
46,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
47,Between 1 and 2 meters,Other,indoor,Home,Home
48,Less than 1 meter,Cohabitant,indoor,Home,Cohabitant
49,Pyshical contact,Coworker,indoor,Home,Home
50,Less than 1 meter,Non-cohabitant relative/family member,outdoor,Other,Otheroutdoor
51,Between 1 and 2 meters,Other,indoor,Home,Home
52,Less than 1 meter,Coworker,indoor,Home,Home
53,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
54,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
55,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
56,Between 1 and 2 meters,Coworker,indoor,Work,Work
57,Between 1 and 2 meters,Coworker,indoor,Work,Work
58,Between 1 and 2 meters,Other,indoor,Home,Home
59,Pyshical contact,Coworker,indoor,Work,Work
60,Between 1 and 2 meters,Coworker,indoor,Work,Work
61,Between 1 and 2 meters,Coworker,indoor,Work,Work
62,Less than 1 meter,Cohabitant,indoor,Home,Cohabitant
63,Less than 1 meter,Friend or acquaintance,indoor,Home,Home
64,Less than 1 meter,Friend or acquaintance,indoor,Home,Home
65,Pyshical contact,Friend or acquaintance,indoor,Home,Home
66,Pyshical contact,Other,indoor,Other,Shopping
67,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
68,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
69,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
70,Between 1 and 2 meters,Other,indoor,Other,Otherindoor
71,Less than 1 meter,Cohabitant,indoor,Home,Cohabitant
72,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
73,Between 1 and 2 meters,Other,indoor,Other,Shopping
74,Pyshical contact,Friend or acquaintance,indoor,Leisure,Leisure
75,Between 1 and 2 meters,Other,indoor,Other,Shopping
76,Pyshical contact,Cohabitant,outdoor,Home,Cohabitant
77,Pyshical contact,Cohabitant,outdoor,Home,Cohabitant
78,Pyshical contact,Cohabitant,outdoor,Home,Cohabitant
79,Pyshical contact,School/college mate,indoor,Home,Home
80,Pyshical contact,Non-cohabitant relative/family member,indoor,Home,Home
81,Between 1 and 2 meters,Friend or acquaintance,outdoor,Other,Otheroutdoor
82,Between 1 and 2 meters,Friend or acquaintance,outdoor,Leisure,Restaurant
83,Between 1 and 2 meters,Cohabitant,indoor,Home,Cohabitant
84,Between 1 and 2 meters,Friend or acquaintance,outdoor,Other,Shopping
85,Pyshical contact,Non-cohabitant relative/family member,indoor,Transport,Transport
86,Between 1 and 2 meters,Cohabitant,indoor,Home,Cohabitant
87,Pyshical contact,Friend or acquaintance,indoor,Work,Work
88,Pyshical contact,Coworker,indoor,Work,Work
89,Pyshical contact,Coworker,indoor,Work,Work
90,Pyshical contact,Coworker,indoor,Work,Work
91,Pyshical contact,Friend or acquaintance,indoor,Work,Work
92,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
93,Pyshical contact,Coworker,indoor,Work,Work
94,Pyshical contact,Coworker,indoor,Work,Work
95,Pyshical contact,Coworker,indoor,Work,Work
96,Pyshical contact,Coworker,indoor,Work,Work
97,Pyshical contact,Non-cohabitant relative/family member,indoor,Home,Home
98,Between 1 and 2 meters,Other,indoor,Other,Shopping
99,More than 2 meters,Cohabitant,indoor,Home,Cohabitant
100,Between 1 and 2 meters,Friend or acquaintance,indoor,Home,Home
101,Less than 1 meter,Cohabitant,indoor,Home,Cohabitant
102,Between 1 and 2 meters,Friend or acquaintance,indoor,Home,Home
103,,Coworker,indoor,Work,Work
104,,Coworker,indoor,Home,Home
105,,Coworker,indoor,Work,Work
106,,Cohabitant,indoor,Home,Cohabitant
107,,Coworker,indoor,Home,Home
108,,Coworker,indoor,Home,Home
109,,Coworker,indoor,Work,Work
110,,Coworker,indoor,Home,Home
111,,Coworker,indoor,Work,Work
112,Pyshical contact,Other,indoor,Leisure,Homeguest
113,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
114,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
115,Between 1 and 2 meters,Friend or acquaintance,indoor,Home,Home
116,Less than 1 meter,Cohabitant,indoor,Home,Cohabitant
117,Between 1 and 2 meters,Other,indoor,Other,Shopping
118,Between 1 and 2 meters,Friend or acquaintance,indoor,Home,Home
119,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
120,Between 1 and 2 meters,Friend or acquaintance,outdoor,Other,Shopping
121,Between 1 and 2 meters,Cohabitant,outdoor,Leisure,Restaurant
122,Between 1 and 2 meters,Friend or acquaintance,indoor,Other,Shopping
123,Less than 1 meter,Cohabitant,indoor,Home,Cohabitant
124,Between 1 and 2 meters,Coworker,indoor,Home,Home
125,Between 1 and 2 meters,Coworker,indoor,Home,Home
126,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
127,Less than 1 meter,Cohabitant,indoor,Home,Cohabitant
128,More than 2 meters,Coworker,indoor,Work,Work
129,More than 2 meters,Coworker,outdoor,Home,Home
130,More than 2 meters,Coworker,outdoor,Home,Home
131,More than 2 meters,Coworker,indoor,Work,Work
132,More than 2 meters,Coworker,indoor,Work,Work
133,More than 2 meters,Coworker,outdoor,Home,Home
134,More than 2 meters,Coworker,outdoor,Home,Home
135,More than 2 meters,Coworker,indoor,Work,Work
136,Pyshical contact,Cohabitant,indoor,Home,Cohabitant
