hh_id,hh_size,country
HH1,2,IT
HH10,3,IT
HH100,3,IT
HH1000,4,IT
HH1001,2,IT
HH1002,1,IT
HH1003,3,IT
HH1004,2,IT
HH1005,2,IT
HH1006,4,IT
HH1007,2,IT
HH1008,2,IT
HH1009,1,IT
HH101,4,IT
HH1010,2,IT
HH1011,3,IT
HH1012,5,IT
HH1013,1,IT
HH1014,3,IT
HH1015,2,IT
HH1016,3,IT
HH1017,1,IT
HH1018,3,IT
HH1019,2,IT
HH102,3,IT
HH1020,3,IT
HH1021,3,IT
HH1022,5,IT
HH1023,3,IT
HH1024,3,IT
HH1025,4,IT
HH1026,2,IT
HH1027,3,IT
HH1028,2,IT
HH1029,4,IT
HH103,2,IT
HH1030,3,IT
HH1031,3,IT
HH1032,3,IT
HH1033,3,IT
HH1034,3,IT
HH1035,2,IT
HH1036,4,IT
HH1037,4,IT
HH1038,5,IT
HH1039,2,IT
HH104,2,IT
HH1040,2,IT
HH1041,2,IT
HH1042,2,IT
HH1043,3,IT
HH1044,3,IT
HH1045,2,IT
HH1046,5,IT
HH1047,5,IT
HH1048,1,IT
HH1049,4,IT
HH105,3,IT
HH1050,4,IT
HH1051,1,IT
HH1052,4,IT
HH1053,4,IT
HH1054,3,IT
HH1055,2,IT
HH1056,4,IT
HH1057,4,IT
HH1058,2,IT
HH1059,2,IT
HH106,3,IT
HH1060,3,IT
HH1061,1,IT
HH1062,1,IT
HH1063,3,IT
HH1064,3,IT
HH1065,3,IT
HH1066,4,IT
HH1067,4,IT
HH1068,3,IT
HH1069,3,IT
HH107,3,IT
HH1070,3,IT
HH1071,2,IT
HH1072,1,IT
HH1073,2,IT
HH1074,2,IT
HH1075,3,IT
HH1076,3,IT
HH1077,1,IT
HH1078,2,IT
HH1079,3,IT
HH108,3,IT
HH1080,1,IT
HH1081,4,IT
HH1082,1,IT
HH1083,5,IT
HH1084,1,IT
HH1085,2,IT
HH1086,4,IT
HH1087,3,IT
HH1088,3,IT
HH1089,4,IT
HH109,3,IT
HH1090,2,IT
HH1091,5,IT
HH1092,2,IT
HH1093,3,IT
HH1094,5,IT
HH1095,2,IT
HH1096,4,IT
HH1097,3,IT
HH1098,3,IT
HH1099,1,IT
HH11,4,IT
HH110,2,IT
HH1100,4,IT
HH1101,4,IT
HH1102,4,IT
HH1103,3,IT
HH1104,5,IT
HH1105,2,IT
HH1106,2,IT
HH1107,3,IT
HH1108,3,IT
HH1109,4,IT
HH111,1,IT
HH1110,2,IT
HH1111,2,IT
HH1112,2,IT
HH1113,3,IT
HH1114,2,IT
HH1115,2,IT
HH1116,4,IT
HH1117,2,IT
HH1118,2,IT
HH1119,2,IT
HH112,4,IT
HH1120,3,IT
HH1121,2,IT
HH1122,4,IT
HH1123,2,IT
HH1124,2,IT
HH1125,4,IT
HH1126,3,IT
HH1127,2,IT
HH1128,2,IT
HH1129,2,IT
HH113,3,IT
HH1130,4,IT
HH1131,1,IT
HH1132,1,IT
HH1133,1,IT
HH1134,3,IT
HH1135,2,IT
HH1136,4,IT
HH1137,3,IT
HH1138,4,IT
HH1139,3,IT
HH114,2,IT
HH1140,3,IT
HH1141,1,IT
HH1142,2,IT
HH1143,1,IT
HH1144,2,IT
HH1145,1,IT
HH1146,1,IT
HH1147,4,IT
HH1148,4,IT
HH1149,1,IT
HH115,2,IT
HH1150,3,IT
HH1151,3,IT
HH1152,2,IT
HH1153,2,IT
HH1154,3,IT
HH1155,2,IT
HH1156,3,IT
HH1157,2,IT
HH1158,3,IT
HH1159,1,IT
HH116,3,IT
HH1160,2,IT
HH1161,1,IT
HH1162,2,IT
HH1163,1,IT
HH1164,3,IT
HH1165,2,IT
HH1166,3,IT
HH1167,1,IT
HH1168,1,IT
HH1169,4,IT
HH117,4,IT
HH1170,3,IT
HH1171,4,IT
HH1172,3,IT
HH1173,2,IT
HH1174,4,IT
HH1175,2,IT
HH1176,4,IT
HH1177,4,IT
HH1178,4,IT
HH1179,2,IT
HH118,3,IT
HH1180,2,IT
HH1181,2,IT
HH1182,2,IT
HH1183,4,IT
HH1184,3,IT
HH1185,1,IT
HH1186,4,IT
HH1187,3,IT
HH1188,2,IT
HH1189,1,IT
HH119,3,IT
HH1190,5,IT
HH1191,2,IT
HH1192,5,IT
HH1193,1,IT
HH1194,2,IT
HH1195,3,IT
HH1196,3,IT
HH1197,3,IT
HH1198,2,IT
HH1199,3,IT
HH12,3,IT
HH120,4,IT
HH1200,2,IT
HH1201,4,IT
HH1202,3,IT
HH1203,2,IT
HH1204,3,IT
HH1205,3,IT
HH1206,1,IT
HH1207,2,IT
HH1208,3,IT
HH1209,4,IT
HH121,3,IT
HH1210,1,IT
