hh_id,hh_size_0-17,hh_size_65+,hh_size_70+,hh_size_75+,hh_size_80+,household_monthly_net_income
HH1,0,0,0,0,0,4.0
HH10,0,0,0,0,0,7.0
HH100,1,0,0,0,0,6.0
HH1000,1,0,0,0,0,3.0
HH1001,1,0,0,0,0,5.0
HH1002,0,0,0,0,0,2.0
HH1003,1,0,0,0,0,6.0
HH1004,0,2,2,0,0,2.0
HH1005,0,0,0,0,0,1.0
HH1006,2,0,0,0,0,5.0
HH1007,0,0,0,0,0,6.0
HH1008,0,2,0,0,0,4.0
HH1009,0,0,0,0,0,3.0
HH101,0,0,0,0,0,4.0
HH1010,0,0,0,0,0,5.0
HH1011,1,0,0,0,0,6.0
HH1012,0,0,0,0,0,5.0
HH1013,0,0,0,0,0,1.0
HH1014,1,0,0,0,0,4.0
HH1015,0,2,0,0,0,
HH1016,0,2,0,0,0,8.0
HH1017,0,0,0,0,0,5.0
HH1018,0,0,0,0,0,
HH1019,0,0,0,0,0,4.0
HH102,0,0,0,0,0,4.0
HH1020,1,0,0,0,0,5.0
HH1021,0,0,0,0,0,
HH1022,3,0,0,0,0,2.0
HH1023,1,0,0,0,0,9.0
HH1024,1,0,0,0,0,
HH1025,1,0,0,0,0,4.0
HH1026,1,0,0,0,0,3.0
HH1027,1,0,0,0,0,
HH1028,0,0,0,0,0,3.0
HH1029,0,2,0,0,0,2.0
HH103,0,2,0,0,0,4.0
HH1030,0,4,4,2,0,2.0
HH1031,1,0,0,0,0,
HH1032,0,0,0,0,0,4.0
HH1033,1,0,0,0,0,5.0
HH1034,1,0,0,0,0,5.0
HH1035,1,0,0,0,0,4.0
HH1036,2,0,0,0,0,2.0
HH1037,0,0,0,0,0,6.0
HH1038,3,0,0,0,0,5.0
HH1039,0,0,0,0,0,3.0
HH104,0,0,0,0,0,4.0
HH1040,0,0,0,0,0,5.0
HH1041,0,0,0,0,0,5.0
HH1042,0,0,0,0,0,7.0
HH1043,1,0,0,0,0,1.0
HH1044,0,0,0,0,0,5.0
HH1045,0,0,0,0,0,5.0
HH1046,0,0,0,0,0,6.0
HH1047,0,0,0,0,0,2.0
HH1048,0,0,0,0,0,
HH1049,2,0,0,0,0,
HH105,0,4,2,0,0,6.0
HH1050,1,0,0,0,0,9.0
HH1051,0,0,0,0,0,
HH1052,2,0,0,0,0,1.0
HH1053,0,0,0,0,0,1.0
HH1054,0,0,0,0,0,
HH1055,1,0,0,0,0,1.0
HH1056,2,0,0,0,0,1.0
HH1057,0,0,0,0,0,1.0
HH1058,0,2,0,0,0,3.0
HH1059,0,0,0,0,0,2.0
HH106,1,0,0,0,0,3.0
HH1060,1,0,0,0,0,
HH1061,0,0,0,0,0,3.0
HH1062,0,0,0,0,0,1.0
HH1063,0,0,0,0,0,7.0
HH1064,0,0,0,0,0,
HH1065,0,0,0,0,0,2.0
HH1066,0,2,0,0,0,4.0
HH1067,1,0,0,0,0,1.0
HH1068,0,0,0,0,0,1.0
HH1069,1,0,0,0,0,5.0
HH107,1,2,0,0,0,8.0
HH1070,0,0,0,0,0,1.0
HH1071,0,0,0,0,0,1.0
HH1072,0,0,0,0,0,4.0
HH1073,0,0,0,0,0,2.0
HH1074,0,0,0,0,0,3.0
