part_id,hh_id,part_age_exact,part_gender,part_age_est_min,part_age_est_max
1,HH1,31,M,,
2,HH2,5,F,,
3,HH3,82,M,,
4,HH4,51,M,,
5,HH5,61,F,,
6,HH6,50,M,,
7,HH7,60,F,,
8,HH8,71,M,,
9,HH9,59,M,,
10,HH10,57,M,,
11,HH11,31,M,,
12,HH12,21,F,,
13,HH13,52,M,,
14,HH14,57,M,,
15,HH15,66,M,,
16,HH16,55,F,,
17,HH17,3,M,,
18,HH18,74,M,,
19,HH19,33,F,,
20,HH20,33,F,,
21,HH21,75,M,,
22,HH22,25,F,,
23,HH23,33,M,,
24,HH24,5,F,,
25,HH25,54,F,,
26,HH26,69,M,,
27,HH27,26,M,,
28,HH28,49,F,,
29,HH29,3,F,,
30,HH30,40,M,,
31,HH31,34,M,,
32,HH32,14,F,,
33,HH33,2,F,,
34,HH34,47,F,,
35,HH35,28,M,,
36,HH36,59,F,,
37,HH37,29,M,,
38,HH38,45,M,,
39,HH39,75,M,,
40,HH40,52,F,,
41,HH41,0,M,,
42,HH42,27,F,,
43,HH43,11,F,,
44,HH44,48,F,,
45,HH45,6,M,,
46,HH46,48,M,,
47,HH47,47,M,,
48,HH48,82,F,,
49,HH49,68,M,,
50,HH50,51,F,,
51,HH51,21,M,,
52,HH52,53,M,,
53,HH53,37,M,,
54,HH54,49,F,,
55,HH55,0,F,,
56,HH56,23,M,,
57,HH57,71,F,,
58,HH58,51,M,,
59,HH59,59,M,,
60,HH60,58,M,,
61,HH61,39,M,,
62,HH62,57,M,,
63,HH63,53,F,,
64,HH64,23,M,,
65,HH65,10,M,,
66,HH66,58,M,,
67,HH67,41,M,,
68,HH68,62,M,,
69,HH69,22,F,,
70,HH70,38,F,,
71,HH71,12,F,,
72,HH72,2,F,,
73,HH73,30,F,,
74,HH74,32,F,,
75,HH75,0,M,,
76,HH76,12,M,,
77,HH77,73,F,,
78,HH78,36,F,,
79,HH79,63,F,,
80,HH80,12,M,,
81,HH81,16,F,,
82,HH82,33,M,,
83,HH83,59,F,,
84,HH84,2,F,,
85,HH85,8,M,,
86,HH86,12,F,,
87,HH87,54,M,,
88,HH88,58,F,,
89,HH89,52,M,,
90,HH90,8,F,,
91,HH91,20,F,,
92,HH92,16,M,,
93,HH93,45,F,,
94,HH94,36,M,,
95,HH95,48,M,,
96,HH96,8,F,,
97,HH97,51,F,,
98,HH98,36,M,,
99,HH99,5,F,,
100,HH100,14,M,,
101,HH101,24,M,,
102,HH102,65,M,,
103,HH103,69,M,,
104,HH104,39,M,,
105,HH105,32,M,,
106,HH106,3,M,,
107,HH107,16,F,,
108,HH108,58,F,,
109,HH109,17,F,,
110,HH110,48,M,,
111,HH111,28,M,,
112,HH112,61,M,,
113,HH113,16,M,,
114,HH114,16,M,,
115,HH115,45,F,,
116,HH116,13,M,,
117,HH117,29,M,,
118,HH118,0,F,,
119,HH119,4,F,,
120,HH120,9,M,,
121,HH121,16,M,,
122,HH122,46,M,,
123,HH123,16,M,,
124,HH124,44,F,,
125,HH125,55,M,,
126,HH126,11,M,,
127,HH127,27,M,,
128,HH128,1,M,,
129,HH129,4,M,,
130,HH130,62,M,,
131,HH131,42,M,,
132,HH132,32,M,,
133,HH133,30,F,,
134,HH134,68,M,,
135,HH135,10,F,,
136,HH136,54,F,,
137,HH137,33,M,,
138,HH138,31,F,,
139,HH139,44,F,,
140,HH140,53,F,,
141,HH141,61,F,,
142,HH142,13,M,,
143,HH143,51,M,,
144,HH144,3,M,,
145,HH145,41,F,,
146,HH146,71,M,,
147,HH147,17,F,,
148,HH148,34,F,,
149,HH149,12,M,,
150,HH150,3,F,,
151,HH151,77,M,,
152,HH152,7,F,,
153,HH153,59,M,,
154,HH154,29,F,,
155,HH155,1,M,,
156,HH156,64,M,,
157,HH157,28,F,,
158,HH158,62,F,,
159,HH159,66,M,,
160,HH160,63,M,,
161,HH161,3,M,,
162,HH162,5,M,,
163,HH163,32,M,,
164,HH164,61,F,,
165,HH165,37,M,,
166,HH166,55,M,,
167,HH167,56,F,,
168,HH168,7,M,,
169,HH169,64,F,,
170,HH170,37,F,,
171,HH171,29,M,,
172,HH172,4,F,,
173,HH173,25,M,,
174,HH174,71,M,,
175,HH175,7,F,,
176,HH176,75,M,,
177,HH177,45,M,,
178,HH178,75,M,,
179,HH179,9,F,,
180,HH180,4,M,,
181,HH181,68,F,,
182,HH182,73,M,,
183,HH183,4,F,,
184,HH184,45,F,,
185,HH185,16,F,,
186,HH186,12,M,,
187,HH187,32,M,,
188,HH188,72,F,,
189,HH189,24,F,,
190,HH190,3,F,,
191,HH191,71,M,,
192,HH192,4,M,,
193,HH193,35,M,,
194,HH194,0,F,,
195,HH195,2,F,,
196,HH196,32,M,,
197,HH197,39,F,,
198,HH198,23,F,,
199,HH199,14,F,,
200,HH200,44,M,,
201,HH201,63,M,,
202,HH202,4,M,,
203,HH203,44,F,,
204,HH204,27,F,,
205,HH205,40,M,,
206,HH206,6,M,,
207,HH207,53,M,,
208,HH208,34,M,,
209,HH209,0,M,,
210,HH210,56,F,,
211,HH211,16,F,,
212,HH212,40,M,,
213,HH213,36,F,,
214,HH214,36,F,,
215,HH215,38,M,,
216,HH216,61,M,,
217,HH217,36,M,,
218,HH218,3,F,,
219,HH219,41,F,,
220,HH220,42,M,,
221,HH221,13,M,,
222,HH222,30,M,,
223,HH223,17,F,,
224,HH224,63,F,,
225,HH225,0,M,,
226,HH226,55,M,,
227,HH227,30,F,,
228,HH228,6,F,,
229,HH229,13,M,,
230,HH230,11,M,,
231,HH231,52,M,,
232,HH232,50,M,,
233,HH233,6,F,,
234,HH234,58,F,,
235,HH235,26,M,,
236,HH236,35,M,,
237,HH237,37,F,,
238,HH238,8,M,,
239,HH239,29,M,,
240,HH240,55,M,,
241,HH241,55,M,,
242,HH242,73,M,,
243,HH243,9,M,,
244,HH244,0,M,,
245,HH245,42,M,,
246,HH246,47,M,,
247,HH247,38,F,,
