part_id,panel_id,presence_work,presence_school,educational_attainment,region_nuts1,occupation,primary_vaccination_cycle,indirect_contacts
1,1,In-person work,,Bachelor or above,North-East,Employed,Yes,1
2,2,,In-person attendance,Lower Secondary or below,South,Student,No,25
3,3,,,Lower Secondary or below,North-West,Retired,Yes,2
4,4,In-person work,,Bachelor or above,North-West,Employed,Yes,1
5,5,In-person work,,Upper Secondary,South,Employed,Yes,2
6,6,Remote work,,Upper Secondary,North-West,Employed,Yes,2
7,7,,,Upper Secondary,North-West,Retired,Yes,8
8,8,,,Upper Secondary,Centre,Retired,No,0
9,9,Remote work,,Bachelor or above,North-West,Employed,Yes,20
10,10,In-person work,,Upper Secondary,North-West,Employed,Yes,5
11,11,In-person work,,Bachelor or above,North-West,Employed,Yes,10
12,12,No work,In-person attendance,Upper Secondary,South,Student,Yes,28
13,13,Remote work,,Upper Secondary,North-West,Employed,Yes,0
14,14,In-person work,,Lower Secondary or below,Centre,Employed,Yes,1
15,15,,,Upper Secondary,North-West,Retired,Yes,0
16,16,Remote work,,Upper Secondary,North-West,Employed,Yes,15
17,17,,In-person attendance,Lower Secondary or below,South,Student,No,3
18,18,,,Upper Secondary,South,Retired,Yes,2
19,19,In-person work,,Upper Secondary,Centre,Employed,Yes,11
20,20,Remote work,,Bachelor or above,North-East,Employed,Yes,1
21,21,,,Upper Secondary,South,Retired,Yes,2
22,22,In-person work,,Upper Secondary,North-West,Employed,Yes,9
23,23,,,Upper Secondary,Islands,Inactive,Yes,40
24,24,,In-person attendance,Lower Secondary or below,South,Student,No,2
25,25,,,Bachelor or above,South,Inactive,Yes,2
26,26,,,Upper Secondary,South,Retired,Yes,1
27,27,In-person work,,Upper Secondary,North-West,Employed,Yes,2
28,28,In-person work,,Upper Secondary,North-East,Employed,No,4
29,29,,In-person attendance,Lower Secondary or below,North-East,Student,No,31
30,30,,,Upper Secondary,North-East,Inactive,Yes,0
31,31,,Remote attendance,Upper Secondary,Islands,Student,Yes,3
32,32,,No attendance,Lower Secondary or below,Islands,Student,Yes,12
33,33,,,Lower Secondary or below,North-West,Employed,No,3
34,34,,,Upper Secondary,North-East,Home/family care,Yes,1
35,35,In-person work,,Upper Secondary,North-West,Employed,Yes,2
36,36,In-person work,,Upper Secondary,Centre,Employed,Yes,0
37,37,In-person work,,Bachelor or above,South,Employed,Yes,3
38,38,In-person work,,Upper Secondary,South,Employed,Yes,5
39,39,,,Upper Secondary,Centre,Retired,Yes,1
40,40,No work,,Lower Secondary or below,Centre,Employed,Yes,2
41,41,,,Lower Secondary or below,North-West,Employed,No,4
42,42,In-person work,,Upper Secondary,North-West,Employed,Yes,10
43,43,,In-person attendance,Lower Secondary or below,Centre,Student,No,15
44,44,In-person work,,Upper Secondary,North-East,Employed,Yes,3
45,45,,In-person attendance,Lower Secondary or below,Centre,Student,No,10
46,46,In-person work,,Upper Secondary,Centre,Employed,Yes,2
47,47,In-person work,,Bachelor or above,North-West,Employed,Yes,30
48,48,,,Upper Secondary,North-West,Retired,Yes,1
49,49,,,Upper Secondary,Centre,Inactive,Yes,0
50,50,,,Upper Secondary,North-East,Home/family care,Yes,3
51,51,In-person work,,Upper Secondary,South,Employed,Yes,10
52,52,In-person work,,Lower Secondary or below,South,Employed,Yes,1
53,53,In-person work,,Bachelor or above,North-West,Employed,Yes,2
54,54,In-person work,,Upper Secondary,North-East,Employed,Yes,0
55,55,,,Lower Secondary or below,North-East,Employed,No,4
56,56,,Remote attendance,Bachelor or above,South,Student,Yes,20
57,57,,,Bachelor or above,Islands,Retired,No,0
58,58,In-person work,,Upper Secondary,South,Employed,Yes,9
59,59,,,Lower Secondary or below,Islands,Inactive,No,0
60,60,In-person work,,Lower Secondary or below,North-West,Employed,Yes,25
61,61,In-person work,,Upper Secondary,South,Employed,Yes,3
62,62,In-person work,,Upper Secondary,North-West,Employed,Yes,12
63,63,In-person work,,Bachelor or above,Centre,Employed,No,1
64,64,,,Lower Secondary or below,North-West,Inactive,Yes,4
65,65,,In-person attendance,Lower Secondary or below,North-West,Student,Yes,35
66,66,No work,,Upper Secondary,South,Employed,Yes,3
67,67,,,Upper Secondary,North-West,Inactive,Yes,1
68,68,In-person work,,Upper Secondary,North-East,Employed,Yes,4
69,69,,In-person attendance,Upper Secondary,Islands,Student,Yes,30
70,70,In-person work,,Bachelor or above,North-West,Employed,Yes,15
71,71,,In-person attendance,Lower Secondary or below,South,Student,Yes,3
72,72,,No attendance,Lower Secondary or below,South,Student,No,2
73,73,In-person work,,Upper Secondary,South,Employed,Yes,6
74,74,Remote work,,Bachelor or above,Centre,Employed,Yes,2
75,75,,,Lower Secondary or below,North-West,Inactive,No,0
76,76,,In-person attendance,Lower Secondary or below,South,Student,Yes,3
77,77,,,Upper Secondary,Centre,Retired,Yes,1
78,78,In-person work,,Upper Secondary,North-East,Employed,Yes,4
79,79,In-person work,,Bachelor or above,Centre,Employed,Yes,3
80,80,,In-person attendance,Lower Secondary or below,Centre,Student,No,5
81,81,,In-person attendance,Lower Secondary or below,Centre,Student,Yes,10
82,82,In-person work,,Upper Secondary,South,Employed,Yes,0
83,83,In-person work,,Upper Secondary,Islands,Employed,Yes,5
84,84,,,Lower Secondary or below,North-East,Employed,No,3
85,85,,No attendance,Lower Secondary or below,North-West,Student,Yes,20
86,86,,In-person attendance,Lower Secondary or below,North-East,Student,Yes,25
87,87,In-person work,,Bachelor or above,Centre,Employed,Yes,2
88,88,In-person work,,Bachelor or above,North-East,Employed,Yes,39
89,89,In-person work,,Upper Secondary,North-West,Employed,Yes,5
90,90,,In-person attendance,Lower Secondary or below,North-West,Student,Yes,24
91,91,,No attendance,Upper Secondary,North-East,Student,Yes,5
92,92,,In-person attendance,Lower Secondary or below,South,Student,Yes,21
93,93,,,Upper Secondary,North-East,Inactive,Yes,1
94,94,,,Upper Secondary,South,Inactive,Yes,3
95,95,In-person work,,Bachelor or above,South,Employed,Yes,5
96,96,,In-person attendance,Lower Secondary or below,South,Student,Yes,30
97,97,,,Bachelor or above,Islands,Inactive,Yes,7
98,98,,,Upper Secondary,Centre,Retired,Yes,0
99,99,,In-person attendance,Lower Secondary or below,Centre,Student,No,7
100,100,,In-person attendance,Lower Secondary or below,Centre,Student,Yes,0
101,101,,Remote attendance,Upper Secondary,Centre,Student,Yes,3
102,102,,,Lower Secondary or below,North-West,Retired,No,2
103,103,,,Upper Secondary,Islands,Retired,No,1
104,104,In-person work,,Bachelor or above,North-West,Employed,Yes,3
105,105,In-person work,,Upper Secondary,Centre,Employed,Yes,5
106,106,,In-person attendance,Lower Secondary or below,North-West,Student,No,15
107,107,,In-person attendance,Lower Secondary or below,North-West,Student,No,25
108,108,,,Upper Secondary,North-East,Inactive,Yes,6
109,109,,In-person attendance,Lower Secondary or below,Islands,Student,Yes,2
110,110,In-person work,,Upper Secondary,South,Employed,Yes,2
111,111,In-person work,,Upper Secondary,North-East,Employed,Yes,7
112,112,In-person work,,Bachelor or above,North-East,Employed,Yes,5
113,113,,In-person attendance,Lower Secondary or below,Islands,Student,Yes,23
114,114,,In-person attendance,Lower Secondary or below,South,Student,Yes,5
115,115,In-person work,,Bachelor or above,Centre,Employed,Yes,3
116,116,,In-person attendance,Lower Secondary or below,North-West,Student,Yes,20
117,117,In-person work,,Upper Secondary,South,Employed,Yes,10
118,118,,,Lower Secondary or below,South,Employed,No,2
119,119,,No attendance,Lower Secondary or below,North-West,Student,No,2
120,120,,In-person attendance,Lower Secondary or below,North-West,Student,Yes,10
121,121,,In-person attendance,Lower Secondary or below,South,Student,Yes,14
122,122,,,Upper Secondary,Centre,Inactive,Yes,1
123,123,,In-person attendance,Lower Secondary or below,Centre,Student,Yes,20
124,124,In-person work,,Bachelor or above,North-East,Employed,No,25
125,125,In-person work,,Upper Secondary,Centre,Employed,Yes,4
126,126,,In-person attendance,Lower Secondary or below,North-West,Student,Yes,20
127,127,,In-person attendance,Bachelor or above,Centre,Student,Yes,7
128,128,,In-person attendance,Lower Secondary or below,North-East,Student,No,15
129,129,,In-person attendance,Lower Secondary or below,South,Student,No,2
130,130,Remote work,,Upper Secondary,North-East,Employed,Yes,0
131,131,No work,,Upper Secondary,South,Employed,Yes,1
132,132,Remote work,Remote attendance,Bachelor or above,Islands,Student,Yes,1
133,133,In-person work,,Upper Secondary,North-West,Employed,Yes,1
134,134,,,Upper Secondary,North-East,Retired,Yes,2
135,135,,In-person attendance,Lower Secondary or below,North-West,Student,Yes,52
136,136,,,Upper Secondary,South,Inactive,Yes,0
137,137,,In-person attendance,Upper Secondary,Centre,Student,Yes,25
138,138,Remote work,,Upper Secondary,South,Employed,Yes,2
139,139,Remote work,,Bachelor or above,South,Employed,Yes,1
140,140,,,Lower Secondary or below,Islands,Inactive,Yes,0
141,141,,,Lower Secondary or below,South,Inactive,Yes,2
142,142,,In-person attendance,Lower Secondary or below,Centre,Student,Yes,1
143,143,Remote work,,Bachelor or above,North-West,Employed,Yes,0
144,144,,In-person attendance,Lower Secondary or below,North-West,Student,No,12
145,145,No work,,Upper Secondary,Centre,Employed,Yes,2
146,146,,,Upper Secondary,Islands,Retired,Yes,2
147,147,,In-person attendance,Lower Secondary or below,Islands,Student,Yes,1
148,148,,,Upper Secondary,South,Inactive,No,4
149,149,,In-person attendance,Lower Secondary or below,South,Student,Yes,2
150,150,,,Lower Secondary or below,North-West,Home/family care,No,6
151,151,,,Bachelor or above,South,Retired,Yes,1
152,152,,In-person attendance,Lower Secondary or below,North-East,Student,No,18
153,153,,,Upper Secondary,South,Retired,Yes,1
154,154,In-person work,,Upper Secondary,North-West,Employed,Yes,6
155,155,,No attendance,Lower Secondary or below,South,Student,No,2
156,156,In-person work,,Bachelor or above,Islands,Employed,Yes,3
157,157,,Remote attendance,Bachelor or above,North-East,Student,Yes,5
158,158,,,Upper Secondary,South,Retired,Yes,8
159,159,,,Upper Secondary,Islands,Retired,Yes,4
160,160,In-person work,,Bachelor or above,North-West,Employed,Yes,40
161,161,,In-person attendance,Lower Secondary or below,North-West,Student,No,25
162,162,,In-person attendance,Lower Secondary or below,North-West,Student,No,18
163,163,In-person work,,Upper Secondary,Islands,Employed,Yes,7
164,164,,,Upper Secondary,South,Inactive,No,0
165,165,Remote work,,Bachelor or above,Islands,Employed,Yes,1
166,166,In-person work,,Bachelor or above,Centre,Employed,Yes,2
167,167,,,Upper Secondary,Islands,Inactive,Yes,1
168,168,,In-person attendance,Lower Secondary or below,Centre,Student,Yes,50
169,169,,,Upper Secondary,North-East,Inactive,Yes,1
170,170,,,Upper Secondary,North-East,Inactive,Yes,2
171,171,,No attendance,Upper Secondary,South,Student,Yes,1
172,172,,In-person attendance,Lower Secondary or below,North-West,Student,No,13
173,173,No work,,Upper Secondary,Islands,Employed,Yes,40
174,174,,,Upper Secondary,North-West,Retired,Yes,3
175,175,,In-person attendance,Lower Secondary or below,North-West,Student,No,0
176,176,,,Upper Secondary,North-West,Retired,Yes,50
177,177,In-person work,,Bachelor or above,Islands,Employed,Yes,5
178,178,,,Bachelor or above,North-East,Retired,Yes,20
179,179,,In-person attendance,Lower Secondary or below,Centre,Student,Yes,8
180,180,,No attendance,Lower Secondary or below,South,Student,No,20
181,181,,,Lower Secondary or below,North-West,Home/family care,Yes,1
182,182,,,Upper Secondary,Islands,Retired,Yes,0
183,183,,In-person attendance,Lower Secondary or below,Centre,Student,No,25
184,184,In-person work,,Bachelor or above,North-East,Employed,Yes,3
185,185,,In-person attendance,Lower Secondary or below,Centre,Student,Yes,22
186,186,,In-person attendance,Lower Secondary or below,North-East,Student,Yes,6
