contacts,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
0-4,0.016666666666666666,0.04730545947962781,0.0,0.006172839506172839,0.03361344537815126,0.0,0.12870481453789004,0.011669638883297868,0.03105778861412278,0.0,0.015873015873015876,0.0,0.0,0.0,0.03321731490127281
5-9,0.046561874706613264,0.05555555555555555,0.0558659217877095,0.0,0.0,0.011290305709645523,0.04406332486755353,0.0,0.03069930935679782,0.00419380997241091,0.025628846845937324,0.005959128181240543,0.01276595744680851,0.023502120431292725,0.001951950971393462
10-14,0.0,0.061581648206867866,0.4606741573033708,0.05725967025504165,0.0,0.0,0.007964264652814539,0.002845501160309394,0.0,0.009281059145426755,0.006330121504258177,0.01094312071599398,0.019033131754174565,0.0,0.01517485122044855
15-19,0.00675093886344027,0.0,0.057717099779701006,0.21568627450980393,0.030608406545053764,0.00423728813559322,0.0,0.0,0.06512012292725289,0.038468075620419026,0.03194092576351424,0.0059257697595494225,0.020242914979757082,0.0,0.0
20-24,0.03813516858085958,0.0,0.0,0.031752225641610066,0.1016949152542373,0.11697040887794058,0.07246315650134133,0.05495590853452288,0.0236618536014457,0.07521401467973267,0.024860495551180667,0.004329004329004329,0.08470681125984805,0.01787346421083181,0.019417475728155338
25-29,0.0,0.013392857142857144,0.0,0.0045237181144385736,0.12037882360952122,0.06716417910447761,0.05163620639136351,0.06152037142055093,0.10990115948813549,0.06916448703619019,0.09748406370193055,0.029403452455931615,0.09255235616997282,0.03756170462953702,0.049395726624485485
30-34,0.1586756784842272,0.055191683644897786,0.009049773755656108,0.0,0.07874449066690611,0.05452343030436349,0.12878787878787878,0.19175658678109492,0.11104628300157623,0.07338207135860385,0.05474490936895413,0.16812218311015842,0.09260612151505988,0.08167065205821732,0.024491358073275498
35-39,0.015503875968992248,0.0,0.003484320557491289,0.0,0.0643553445414472,0.07000274812288902,0.2066415202370793,0.27272727272727265,0.1492509946545951,0.05378729845092728,0.047523841807054906,0.05552899489275559,0.04049580551320543,0.00423728813559322,0.02066115702479339
40-44,0.047417846064257835,0.047619047619047616,0.0,0.09090909090909091,0.03184251888696843,0.14370995042200868,0.1375180634872632,0.17151640231498777,0.06790123456790123,0.07545424154629168,0.07110654620593843,0.06132507829157184,0.24357202222860833,0.005832827463102544,0.06809998608976599
45-49,0.0,0.007604562737642585,0.015267175572519083,0.06277778138683945,0.11832344935693706,0.10572583519211272,0.10623291226582178,0.07225727100202763,0.08820578250522415,0.1271676300578035,0.10549835729018171,0.14518522135505588,0.20563332481580454,0.03877852802594338,0.03444370873537424
50-54,0.02904596911692328,0.04764708036263891,0.010676156583629894,0.053443480104676346,0.04009807846787493,0.15278239650917771,0.0812558412503598,0.06545684881764299,0.0852245491755224,0.10816516726680309,0.0625,0.2081954475986333,0.13324538600714342,0.018237179488803167,0.0393818136310903
55-59,0.0,0.01061681371425652,0.017686761541884338,0.00950158912546841,0.006691231291318994,0.04416134194109069,0.23913333054708766,0.07329386212082781,0.07043645354592065,0.14264888516255878,0.19951496251500375,0.1511627906976744,0.14257238100171468,0.019141257056036663,0.01788887411683162
60-64,0.0,0.019359634518573005,0.0261848250337459,0.027628468765509055,0.11144706793574916,0.11832151078379101,0.1121210301302819,0.045497771806666414,0.23813271504921857,0.1719775509933758,0.10868978083962379,0.12135779985164191,0.06896551724137931,0.018696957999721778,0.050546179624836284
65-69,0.0,0.03125,0.0,0.0,0.020618556701030927,0.04210374558015825,0.08669870671146591,0.004174142734858895,0.004999999999999999,0.02843601895734597,0.013043478260869565,0.014285714285714285,0.01639344262295082,0.0,0.0
70+,0.125,0.007462686567164179,0.052631578947368425,0.0,0.06440589500225585,0.1592018610346433,0.07475543731030862,0.058521743915431,0.16784995140700157,0.07262241812649423,0.0809869010843621,0.038388207593911754,0.12742976179523693,0.0,0.06818181818181819
