contacts,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
0-4,0.0,0.0,0.0,0.0,0.0,0.0,0.016867469879518072,0.005985619944116998,0.006150056413495313,0.0,0.0,0.006611570247933884,0.006,0.0,0.0
5-9,0.0,0.0,0.017443366536266127,0.0,0.013195042546157136,0.0,0.004291845493562232,0.0053491718560545265,0.03243700611284298,0.005183139204624387,0.001931379300152199,0.0,0.0,0.0,0.0017636684303350971
10-14,0.0,0.019228023582278275,0.035460992907801414,0.01428010485547756,0.0,0.0028011204481792713,0.0,0.0,0.002070393374741201,0.001129943074396752,0.008488035777436141,0.0015105740181268882,0.0,0.0,0.0
15-19,0.0,0.0,0.014394184128848011,0.5797101449275363,0.011142769649912888,0.0,0.0,0.008976660682226212,0.010446353052913483,0.011453565815240627,0.02313064441493918,0.0,0.0,0.0,0.0
20-24,0.0,0.01520912547528517,0.0,0.011559168742604563,0.34375,0.15108048234756638,0.014034030765025443,0.06421145976850527,0.0,0.0,0.005454545454545455,0.04187324221820974,0.003676470588235294,0.0,0.0
25-29,0.0,0.0,0.003014359036364961,0.0,0.15548283458885076,0.00462962962962963,0.016259766654554073,0.017752705011476373,0.028780645528586727,0.0053359477162626305,0.021569223143724704,0.0072342437372366125,0.019535810461118235,0.003526176439747327,0.0016460905349794238
30-34,0.020795315521447415,0.005375767249645103,0.0,0.0,0.015250544662309368,0.0171689269199116,0.05740181268882175,0.02,0.009598849908582435,0.010338086617440522,0.012526282722121635,0.0035211267605633804,0.005121750776219268,0.019323671497584544,0.0027483003837956723
35-39,0.007952286282306164,0.007220216606498195,0.0,0.010904819664117165,0.07519392777057851,0.020200432941521424,0.021552482103050438,0.011933174224343675,0.0011434756447262586,0.0030499656021121383,0.01070154577883472,0.00425531914893617,0.0,0.0,0.00472926790628164
40-44,0.009389671361502348,0.050314465408805034,0.002913403447833047,0.014583333333333334,0.0,0.03763440860215054,0.01188707280832095,0.001314060446780552,0.0058479532163742695,0.010809254783776456,0.036649214659685875,0.0021676060687673797,0.0026686563256318003,0.0015822784810126582,0.0022371364653243847
45-49,0.0,0.009398496240601503,0.001858736059479554,0.018691588785046728,0.0,0.008156606851549755,0.014966122218874365,0.004097290576133775,0.012635986486146026,0.020151133501259445,0.011908974609839026,0.10865192462188215,0.005160760941836313,0.0,0.009312320916905445
50-54,0.0,0.003590664272890485,0.014315617636470724,0.038702138558871134,0.008797764758658117,0.03380447508646708,0.018592297476759626,0.014739748251082731,0.04392581223060199,0.01221001221001221,0.014218009478672985,0.005440640319176833,0.05847255369928401,0.007581718765180116,0.003860854234902055
55-59,0.011594052946120426,0.0,0.0024414573450631614,0.0,0.06472239972647631,0.010865183666581705,0.005008373992980357,0.005616683240613375,0.002489658202190546,0.10675381263616557,0.005213798677437122,0.02111324376199616,0.002507599144214118,0.0049564290773954365,0.0053460468588144615
60-64,0.00895600247340744,0.0,0.0,0.0,0.0048370592791403995,0.024975124392297546,0.006201058458180738,0.0,0.0026090614617450564,0.004316105032266942,0.04769672884858912,0.002134471718249733,0.0,0.010711129960243785,0.0033875040837045996
65-69,0.0,0.0,0.0,0.0,0.0,0.003952569169960475,0.02051333356030468,0.0,0.0013563563220598224,0.0,0.005422548149749201,0.003699136868064119,0.009391490018474606,0.0034482758620689655,0.011434405233912492
70+,0.0,0.006742845950990952,0.0,0.0,0.0,0.005305330936671195,0.008388689448582192,0.013395426257433824,0.005513998879538092,0.019634449604465844,0.007939670400966667,0.01147222319764961,0.008540088324593487,0.032877357331630455,0.036036036036036036
