"Category" "n" "info" "n.2" "info.2" "n.3" "info.3" "n.1" "info.1"
"All" 846 "19.8 (18.9 - 20.6) " 1883 "3.6 (3.3 - 3.9) " 2474 "7.3 (6.9 - 7.8) " 2505 "7.8 (7.4 - 8.2) "
"0-4" 77 "14.9 (12.7 - 17.2) " 433 "6.2 (5.3 - 7.2) " 76 "9 (7.2 - 10.9) " 44 "9.7 (6.8 - 13.4) "
"18-29" 112 "20.7 (18.5 - 23) " 161 "5.7 (4.7 - 6.8) " 208 "10.6 (8.7 - 12.7) " 181 "11.1 (9 - 13.4) "
"30-39" 104 "18.4 (16.5 - 20.4) " 229 "2.8 (2.2 - 3.6) " 376 "8 (6.9 - 9.3) " 341 "8.8 (7.7 - 10.2) "
"40-49" 119 "19.3 (17.1 - 21.5) " 198 "2.4 (1.9 - 3.1) " 381 "6 (5.1 - 7.2) " 353 "6.7 (5.8 - 7.6) "
"5-17" 224 "24.9 (23.3 - 26.5) " 295 "2.6 (2.3 - 3) " 233 "12.8 (11.4 - 14.3) " 161 "15 (12.9 - 17.1) "
"50-59" 105 "18.9 (16.6 - 21.3) " 151 "2.8 (1.9 - 4.4) " 432 "6.3 (5.4 - 7.2) " 484 "7.6 (6.6 - 8.7) "
"60+" 98 "13.7 (11.7 - 15.8) " 407 "1.9 (1.8 - 2.1) " 768 "5.5 (4.9 - 6.2) " 941 "5.9 (5.4 - 6.6) "
NA 7 "23.4 (17 - 29.1) " 9 "6 (2 - 13) " NA NA NA NA
"F" 438 "19.3 (18.1 - 20.4) " 1176 "4.3 (3.8 - 4.7) " 1226 "7.1 (6.6 - 7.7) " 1233 "7.3 (6.8 - 7.9) "
"M" 401 "20.3 (19 - 21.5) " 703 "2.4 (2.2 - 2.6) " 1248 "7.5 (6.9 - 8.1) " 1272 "8.2 (7.6 - 8.9) "
NA 7 "23.4 (16.9 - 29.1) " 4 "13 (7 - 22.8) " NA NA NA NA
"1" 48 "15 (11.8 - 18.4) " 171 "0.9 (0.6 - 1.1) " 357 "5.2 (4.5 - 6) " 355 "5.9 (4.9 - 7) "
"2" 110 "17.2 (15.1 - 19.4) " 439 "2 (1.6 - 2.6) " 745 "5.7 (5 - 6.5) " 844 "6.5 (5.7 - 7.2) "
"3" 227 "18.4 (16.9 - 20) " 577 "3.6 (3.1 - 4.1) " 732 "8.2 (7.3 - 9.1) " 677 "8.5 (7.6 - 9.3) "
"4" 333 "21.7 (20.4 - 23) " 555 "5.1 (4.5 - 5.9) " 502 "9.1 (8.2 - 10.1) " 492 "9.6 (8.7 - 10.6) "
"5" 98 "21.1 (18.4 - 23.9) " 107 "5.4 (4.1 - 7.3) " 114 "9.7 (8.1 - 11.7) " 104 "10.3 (8.3 - 12.6) "
"6+" 30 "21 (16.7 - 25.4) " 33 "6.7 (5.2 - 8.8) " 24 "13.9 (8.2 - 22.4) " 33 "13.5 (9.5 - 17.8) "
NA NA NA 1 "2 (1 - 2) " NA NA NA NA
"weekday" 620 "21.1 (20.2 - 22.1) " 1565 "3.8 (3.5 - 4.1) " 1827 "7.4 (6.9 - 7.8) " 1757 "8.3 (7.8 - 8.8) "
"weekend" 226 "16 (14.6 - 17.5) " 318 "2.6 (2.1 - 3.4) " 647 "7.2 (6.3 - 8.2) " 748 "6.5 (5.8 - 7.3) "
