"Var" "W1_panel_n%" "W1_panel_mean(CI)" "W2_panel_n%" "W2_panel_mean(CI)" "W1_longitudinal_n%" "W1_longitudinal_mean(CI)" "W2_longitudinal_n%" "W2_longitudinal_mean(CI)"
"0-9 y" "110 (8.9%)" "10.2 (8.5 - 11.9) " "69 (5.4%)" "12.5 (9.8 - 15.6) " "40 (3.2%)" "13.6 (10.3 - 17.2) " "37 (3%)" "12.8 (9.5 - 16.2) "
"10-19 y" "124 (10%)" "13.6 (11.4 - 16) " "64 (5%)" "16.6 (13.3 - 20.4) " "41 (3.3%)" "10 (7.9 - 12.3) " "43 (3.5%)" "12.4 (8.8 - 16.6) "
"20-29 y" "136 (11%)" "11.3 (8.8 - 14.1) " "116 (9.1%)" "11 (8.5 - 14) " "66 (5.3%)" "8.7 (6 - 12.5) " "57 (4.6%)" "11 (7.5 - 15.2) "
"30-39 y" "219 (17.7%)" "7.9 (6.4 - 9.6) " "197 (15.5%)" "8.9 (7.5 - 10.4) " "157 (12.7%)" "8.1 (6.5 - 10) " "144 (11.7%)" "8.8 (6.9 - 11) "
"40-49 y" "194 (15.7%)" "5.7 (4.6 - 7.1) " "157 (12.4%)" "6.5 (5.2 - 7.9) " "187 (15.1%)" "6.4 (5 - 8.2) " "196 (15.9%)" "6.8 (5.8 - 8.1) "
"50-59 y" "183 (14.8%)" "7.1 (5.6 - 8.8) " "249 (19.6%)" "7.8 (6.4 - 9.4) " "249 (20.1%)" "5.7 (4.8 - 6.8) " "235 (19%)" "7.3 (5.9 - 8.9) "
"60-69 y" "111 (9%)" "6.5 (4.7 - 8.6) " "154 (12.1%)" "6.9 (5.1 - 9.1) " "209 (16.9%)" "6.5 (5.2 - 8) " "228 (18.4%)" "5.9 (5 - 7) "
"70+ y" "161 (13%)" "5.3 (4 - 6.8) " "263 (20.7%)" "5.5 (4.6 - 6.5) " "287 (23.2%)" "4.5 (3.8 - 5.3) " "296 (23.9%)" "5.9 (4.8 - 7) "
"Female" "631 (51%)" "8.3 (7.4 - 9.3) " "638 (50.3%)" "7.7 (7 - 8.5) " "595 (48.1%)" "5.9 (5.3 - 6.6) " "595 (48.1%)" "6.9 (6.1 - 7.7) "
"Male" "607 (49%)" "7.9 (7.1 - 8.8) " "631 (49.7%)" "8.8 (7.8 - 9.9) " "641 (51.9%)" "7.1 (6.3 - 8) " "641 (51.9%)" "7.7 (6.9 - 8.6) "
